date,product,usd,tons
2001-01-01,soybean_oil,27442599,93861.42885017395
2001-01-01,soybeans,47970520,244027.7863311768
2001-02-01,soybean_meal,117486532,581845.8637237549
2001-02-01,soybean_oil,12746114,43985.83400535583
2001-02-01,soybeans,19676199,92302.36410522461
2001-03-01,soybean_meal,128361124,661237.5429077148
2001-03-01,soybean_oil,30978653,108669.888127327
2001-03-01,soybeans,135375282,752755.9459228516
2001-04-01,soybean_meal,114092353,642947.4389343262
2001-04-01,soybean_oil,36022803,123565.2419872284
2001-04-01,soybeans,298534594,1761291.874206543
2001-05-01,soybean_meal,196007092,1145988.471218109
2001-05-01,soybean_oil,33557521,113325.074751094
2001-05-01,soybeans,379889895,2317250.155956268
2001-06-01,soybean_meal,184442009,1081999.066986084
2001-06-01,soybean_oil,49623657,178349.4779699594
2001-06-01,soybeans,409351029,2491464.516994476
2001-07-01,soybean_meal,143172228,811982.3665480614
2001-07-01,soybean_oil,35315008,120618.9498918166
2001-07-01,soybeans,329427317,1901855.557201385
2001-08-01,soybean_meal,189296870,1056685.170559693
2001-08-01,soybean_oil,65773631,217008.2500050068
2001-08-01,soybeans,422966841,2369530.145065308
2001-09-01,soybean_meal,170095823,944001.073059082
2001-09-01,soybean_oil,47233687,144802.311006546
2001-09-01,soybeans,256183704,1378582.894256592
2001-10-01,soybean_meal,209811485,1144508.961082146
2001-10-01,soybean_oil,44682029,133565.5731414929
2001-10-01,soybeans,152194953,804132.0460933819
2001-11-01,soybean_meal,174467183,926812.3167610168
2001-11-01,soybean_oil,45769158,137546.633504495
2001-11-01,soybeans,31172738,167686.1881790161
2001-12-01,soybean_meal,136293385,720729.9623794556
2001-12-01,soybean_oil,41186871,125462.0475406647
2001-12-01,soybeans,37713823,206022.3983306885
2002-01-01,soybean_meal,139276312,746703
2002-01-01,soybean_oil,20479593,60917.36959886551
2002-01-01,soybeans,24207749,132352.3765563965
2002-02-01,soybean_meal,79603442,430795.4360237122
2002-02-01,soybean_oil,26063766,73429.03804059327
2002-02-01,soybeans,12072511,69158.0249786377
2002-03-01,soybean_meal,76267393,439704.1885197163
2002-03-01,soybean_oil,23528468,67608.66947340965
2002-03-01,soybeans,100740388,586106.1474609375
2002-04-01,soybean_meal,118165171,696771.5388793945
2002-04-01,soybean_oil,21982165,62944.49283461273
2002-04-01,soybeans,235447009,1388183.309051514
2002-05-01,soybean_meal,107254256,635242.1659317017
2002-05-01,soybean_oil,40643813,115648.2150182724
2002-05-01,soybeans,193455623,1127592.166816711
2002-06-01,soybean_meal,121437660,728321.9623413086
2002-06-01,soybean_oil,32809551,93127.28351783752
2002-06-01,soybeans,195720425,1124850.016353607
2002-07-01,soybean_meal,244188734,1449190.209915161
2002-07-01,soybean_oil,75327577,196525.4679398537
2002-07-01,soybeans,469239057,2558994.406929016
2002-08-01,soybean_meal,193948261,1122665.659824371
2002-08-01,soybean_oil,53960272,142987.5112214088
2002-08-01,soybeans,302024559,1522578.561798096
2002-09-01,soybean_meal,389929380,2238943.516046524
2002-09-01,soybean_oil,202232386,492585.6077976227
2002-09-01,soybeans,747791370,3753008.502716064
2002-10-01,soybean_meal,287104656,1586591.462316513
2002-10-01,soybean_oil,133095695,308639.6067297459
2002-10-01,soybeans,322520455,1546972.253414154
2002-11-01,soybean_meal,187430994,1030645.795948029
2002-11-01,soybean_oil,87119898,187083.5621767044
2002-11-01,soybeans,99035723,470706.6649246216
2002-12-01,soybean_meal,141501263,760656.6567020416
2002-12-01,soybean_oil,23876120,46841.06000725925
2002-12-01,soybeans,114176183,525987.3611564636
2003-01-01,soybean_meal,177432743,964905.0709106922
2003-01-01,soybean_oil,110090711,218786.6009536982
2003-01-01,soybeans,50676231,245773.8878555298
2003-02-01,soybean_meal,113797563,607646.9250850677
2003-02-01,soybean_oil,50521213,103526.7808725238
2003-02-01,soybeans,39023873,181022.4824943542
2003-03-01,soybean_meal,117872423,635904.5634279251
2003-03-01,soybean_oil,59244354,119647.0540866852
2003-03-01,soybeans,240529122,1160234.567871094
2003-04-01,soybean_meal,124997787,695247.5478029251
2003-04-01,soybean_oil,68282221,144791.7799921632
2003-04-01,soybeans,555453352,2720088.740879059
2003-05-01,soybean_meal,220404741,1256541.339503527
2003-05-01,soybean_oil,101351825,222263.0127258301
2003-05-01,soybeans,642092002,3053992.680847168
2003-06-01,soybean_meal,262740732,1431903.288684845
2003-06-01,soybean_oil,94913392,197906.0646955594
2003-06-01,soybeans,484353494,2315029.527567863
2003-07-01,soybean_meal,185651780,996297.4100952148
2003-07-01,soybean_oil,114551332,239693.233710885
2003-07-01,soybeans,382749228,1731308.233703613
2003-08-01,soybean_meal,272509311,1462086.988677979
2003-08-01,soybean_oil,128890548,260454.9396627843
2003-08-01,soybeans,495617319,2266212.7003479
2003-09-01,soybean_meal,286371114,1533071.668115616
2003-09-01,soybean_oil,100218400,210875.525339365
2003-09-01,soybeans,417661887,1940328.3331604
2003-10-01,soybean_meal,264604762,1367260.833750725
2003-10-01,soybean_oil,139162904,286055.1128277779
2003-10-01,soybeans,458636924,1995624.123340607
2003-11-01,soybean_meal,188607332,845955.5689373016
2003-11-01,soybean_oil,87398984,159226.6463909149
2003-11-01,soybeans,120879835,488335.7198486328
2003-12-01,soybean_meal,274102847,1216580.090927124
2003-12-01,soybean_oil,125227433,217773.6622190475
2003-12-01,soybeans,75272259,293166.2700653076
2004-01-01,soybean_meal,215613060,916410.0630011559
2004-01-01,soybean_oil,85924058,146183.7199642211
2004-01-01,soybeans,99169681,342799.4159812927
2004-02-01,soybean_meal,176144986,744849.2354464531
2004-02-01,soybean_oil,96327758,168749.3175039887
2004-02-01,soybeans,102348377,369580.452003479
2004-03-01,soybean_meal,231755513,983780.268511951
2004-03-01,soybean_oil,106469205,171091.195081234
2004-03-01,soybeans,357027095,1235293.122852325
2004-04-01,soybean_meal,175873734,705945.7665435672
2004-04-01,soybean_oil,68306141,109802.3727147207
2004-04-01,soybeans,480649498,1660250.016098022
2004-05-01,soybean_meal,292188310,1136553.795580864
2004-05-01,soybean_oil,87774698,146201.6898665428
2004-05-01,soybeans,629641422,2254144.944961548
2004-06-01,soybean_meal,521774864,2051920.447193861
2004-06-01,soybean_oil,243975672,429519.184325695
2004-06-01,soybeans,998582594,3528558.731014252
2004-07-01,soybean_meal,288585508,1224966.616690159
2004-07-01,soybean_oil,147035191,276593.2675652504
2004-07-01,soybeans,619204969,2159327.213128686
2004-08-01,soybean_meal,227806679,1073720.690589905
2004-08-01,soybean_oil,179902084,342120.4090101421
2004-08-01,soybeans,541316756,1874208.492806435
2004-09-01,soybean_meal,346699767,1690055.225714922
2004-09-01,soybean_oil,124093585,239040.5556455384
2004-09-01,soybeans,598988319,2117079.603002548
2004-10-01,soybean_meal,259068644,1301074.484223366
2004-10-01,soybean_oil,60189581,119772.6279520988
2004-10-01,soybeans,226140854,868937.9342327118
2004-11-01,soybean_meal,190643231,978815.1931056976
2004-11-01,soybean_oil,91732325,183866.0169947147
2004-11-01,soybeans,104528518,443522.1819000244
2004-12-01,soybean_meal,163424583,900268.7873439789
2004-12-01,soybean_oil,80936503,165444.6235591769
2004-12-01,soybeans,79817971,332390.9225149155
2005-01-01,soybean_meal,187001183,1012112.101578832
2005-01-01,soybean_oil,79705124,160181.1034732461
2005-01-01,soybeans,61467410,283357.5968017578
2005-02-01,soybean_meal,168285071,906472.414255619
